scenario,runs,min_ms,p50_ms,mean_ms,p95_ms,max_ms
overview_first_load,12,742.0,847.0,854.0,965.0,991.0
transactions_first_load,12,145.0,202.0,212.0,319.0,385.0
reports_first_load,12,462.0,524.0,524.0,590.0,607.0
data_first_load,12,120.0,162.0,163.0,207.0,215.0
